#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
economy_building;Economy Building;Bâtiment Économique;Wirtschaftsgebäude;Budowla Ekonomiczna;Edificio Económico;Edificio Economico;Ekonomibyggnad;Ekonomická Budova;Gazdasági Épület;Economisch Gebouw;Edifício Econômico;Экономическое Здание;Talouden Rakennus;经济建筑
special_building;Special Building;Bâtiment Spécial;Spezialgebäude;Budowla Specjalna;Edificio Especial;Edificio Speciale;Specialbyggnad;Speciální Budova;Különleges Épület;Speciaal Gebouw;Edifício Especial;Специальное Здание;Erityisrakennus;特殊建筑
development_building;Development Building;Bâtiment de Développement;Entwicklungsgebäude;Budowla Rozwojowa;Edificio de Desarrollo;Edificio di Sviluppo;Utvecklingsbyggnad;Rozvojová Budova;Fejlesztési Épület;Ontwikkelingsgebouw;Edifício de Desenvolvimento;Здание Развития;Kehitysrakennus;发展建筑
refinery;Refinery;Raffinerie;Rafinerie;Rafineria;Refinería;Raffineria;Raffinaderi;Rafinérie;Finomító;Raffinaderij;Refinaria;Нефтеперерабатывающий Завод;Tislauslaitos;炼油厂
coal_powerplant;Coal Powerplant;Centrale à Charbon;Kohlekraftwerk;Elektrownia Węglowa;Central Eléctrica de Carbón;Centrale a Carbone;Kolkraftverk;Uhelná Elektrárna;Szén Erőmű;Kolenenergiecentrale;Usina Termelétrica a Carvão;Угольная Электростанция;Hiilivoimala;燃煤电厂
renewable_powerplant;Renewable Powerplant;Centrale d'Énergie Renouvelable;Erneuerbares Kraftwerk;Elektrownia Odnawialna;Planta de Energía Renovable;Centrale a Energia Rinnovabile;Förnybart Kraftverk;Elektrárna na Obnovitelné Zdroje;Megújuló Erőmű;Hernieuwbare Energiecentrale;Usina de Energia Renovável;Возобновляемая Электростанция;Uusiutuva Voimalaitos;可再生能源电厂
nuclear_powerplant;Nuclear Powerplant;Centrale Nucléaire;Kernkraftwerk;Elektrownia Jądrowa;Central Nuclear;Centrale Nucleare;Kärnkraftverk;Jaderná Elektrárna;Atomerőmű;Kerncentrale;Usina Nuclear;Атомная Электростанция;Ydinvoimala;核电站
cement_factory;Cement Factory;Cimenterie;Zementfabrik;Cementownia;Fábrica de Cemento;Cementificio;Cementfabrik;Cementárna;Cementgyár;Cementfabriek;Fábrica de Cimento;Цементный Завод;Sementtitehdas;水泥厂
steel_factory;Steel Factory;Aciérie;Stahlwerk;Huta Stali;Fábrica de Acero;Acciaieria;Stålverk;Ocelárna;Acélgyár;Staalfabriek;Siderúrgica;Сталелитейный Завод;Terästehdas;钢铁厂
aluminium_factory;Aluminium Factory;Usine d'Aluminium;Aluminiumwerk;Huta Aluminium;Fábrica de Aluminio;Fabbrica di Alluminio;Aluminiumverk;Hliníkárna;Alumíniumgyár;Aluminiumfabriek;Fábrica de Alumínio;Алюминиевый Завод;Alumiinitehdas;铝厂
glass_factory;Glass Factory;Verrerie;Glasfabrik;Huta Szkła;Fábrica de Vidrio;Vetreria;Glasbruk;Sklárna;Üveggyár;Glasfabriek;Fábrica de Vidro;Стекольный Завод;Lasitehdas;玻璃厂
inorganic_chemicals_factory;Inorganic Chemicals Factory;Usine de Chimiques Inorganiques;Anorganische Chemiefabrik;Zakłady Chemii Nieorganicznej;Fábrica de Productos Químicos Inorgánicos;Fabbrica di Chimica Inorganica;Oorganisk Kemifabrik;Továrna na Anorganické Chemikálie;Szervetlen Vegyi Anyagok Gyára;Anorganische Chemische Fabriek;Fábrica de Químicos Inorgânicos;Завод Неорганической Химии;Epäorgaanisten Kemikaalien Tehdas;无机化工厂
fabric_factory;Fabric Factory;Usine de Tissu;Stofffabrik;Fabryka Tkanin;Fábrica de Tejidos;Fabbrica di Tessuti;Tygfabrik;Továrna na Látky;Szövetgyár;Stoffenfabriek;Fábrica de Tecidos;Ткацкая Фабрика;Kangasatehdas;织物厂
plastics_factory;Plastics Factory;Usine de Plastiques;Kunststofffabrik;Fabryka Tworzyw Sztucznych;Fábrica de Plásticos;Fabbrica di Plastica;Plastfabrik;Továrna na Plasty;Műanyaggyár;Plasticfabriek;Fábrica de Plásticos;Завод Пластмасс;Muovitehdas;塑料厂
paper_factory;Paper Factory;Papeterie;Papierfabrik;Papiernia;Fábrica de Papel;Cartiera;Pappersbruk;Papírna;Papírgyár;Papierfabriek;Fábrica de Papel;Бумажная Фабрика;Paperitehdas;造纸厂
integrated_circuits_factory;Integrated Circuits Factory;Usine de Circuits Intégrés;Fabrik für Integrierte Schaltungen;Fabryka Układów Scalonych;Fábrica de Circuitos Integrados;Fabbrica di Circuiti Integrati;Fabrik för Integrerade Kretsar;Továrna na Integrované Obvody;Integrált Áramkörök Gyára;Fabriek voor Geïntegreerde Schakelingen;Fábrica de Circuitos Integrados;Завод Интегральных Схем;Mikropiiritehdas;集成电路厂
electronic_components_factory;Electronic Components Factory;Usine de Composants Électroniques;Fabrik für Elektronische Bauteile;Fabryka Podzespołów Elektronicznych;Fábrica de Componentes Electrónicos;Fabbrica di Componenti Elettronici;Fabrik för Elektronikkomponenter;Továrna na Elektronické Součástky;Elektronikai Alkatrészek Gyára;Fabriek voor Elektronische Componenten;Fábrica de Componentes Eletrônicos;Завод Электронных Компонентов;Elektroniikkakomponenttitehdas;电子元件厂
machine_parts_factory;Machine Parts Factory;Usine de Pièces Mécaniques;Maschinenteilefabrik;Fabryka Części Maszyn;Fábrica de Piezas de Maquinaria;Fabbrica di Parti Meccaniche;Maskindelsfabrik;Továrna na Strojní Součásti;Gépalkatrészgyár;Machineonderdelenfabriek;Fábrica de Peças de Máquinas;Завод Деталей Машин;Koneenosatehdas;机械零件厂
computers_factory;Computers Factory;Usine d'Ordinateurs;Computerfabrik;Fabryka Komputerów;Fábrica de Computadoras;Fabbrica di Computer;Datorfabrik;Továrna na Počítače;Számítógépgyár;Computerfabriek;Fábrica de Computadores;Компьютерный Завод;Tietokonetehdas;电脑厂
automobiles_factory;Automobiles Factory;Usine Automobile;Automobilwerk;Fabryka Samochodów;Fábrica de Automóviles;Fabbrica di Automobili;Bilfabrik;Automobilka;Autógyár;Autofabriek;Fábrica de Automóveis;Автомобильный Завод;Autotehdas;汽车厂
clothes_factory;Clothes Factory;Usine de Vêtements;Kleiderfabrik;Fabryka Odzieży;Fábrica de Ropa;Fabbrica di Abbigliamento;Klädfabrik;Továrna na Oděvy;Ruhagyár;Kledingfabriek;Fábrica de Roupas;Швейная Фабрика;Vaatetehdas;服装厂
pharmaceuticals_factory;Pharmaceuticals Factory;Usine Pharmaceutique;Pharmazeutische Fabrik;Fabryka Farmaceutyczna;Fábrica Farmacéutica;Fabbrica Farmaceutica;Läkemedelsfabrik;Farmaceutická Továrna;Gyógyszergyár;Farmaceutische Fabriek;Fábrica Farmacêutica;Фармацевтический Завод;Lääketehdas;制药厂
communication_factory;Communication Factory;Usine de Communication;Kommunikationsfabrik;Fabryka Sprzętu Komunikacyjnego;Fábrica de Comunicación;Fabbrica di Comunicazioni;Kommunikationsfabrik;Továrna na Komunikační Zařízení;Kommunikációs Eszközök Gyára;Communicatiefabriek;Fábrica de Comunicação;Завод Средств Связи;Tietoliikennevälinetehdas;通信设备厂
multimodal_transport;Multimodal Transport;Transport Multimodal;Multimodaler Verkehr;Transport Multimodalny;Transporte Multimodal;Trasporto Multimodale;Multimodal Transport;Multimodální Doprava;Multimodális Szállítás;Multimodaal Transport;Transporte Multimodal;Мультимодальный Транспорт;Monimuotokuljetus;多式联运
ammunition_factory;Ammunition Factory;Usine de Munitions;Munitionsfabrik;Fabryka Amunicji;Fábrica de Munición;Fabbrica di Munizioni;Ammunitionsfabrik;Továrna na Munici;Lőszergyár;Munitiefabriek;Fábrica de Munição;Завод Боеприпасов;Ammuslaitos;弹药厂
weaponry_factory;Weaponry Factory;Usine d'Armement;Waffenfabrik;Fabryka Broni;Fábrica de Armamento;Fabbrica di Armi;Vapenfabrik;Zbrojovka;Fegyvergyár;Wapenfabriek;Fábrica de Armamento;Оружейный Завод;Asetehdas;军工厂
centrifuges;Centrifuges;Centrifugeuses;Zentrifugen;Wirówki;Centrífugas;Centrifughe;Centrifuger;Odstředivky;Centrifugák;Centrifuges;Centrífugas;Центрифуги;Sentrifugit;离心机
military_satellites_factory;Military Satellites Factory;Usine de Satellites Militaires;Militärsatellitenfabrik;Fabryka Satelitów Wojskowych;Fábrica de Satélites Militares;Fabbrica di Satelliti Militari;Militärsatellitfabrik;Továrna na Vojenské Družice;Katonai Műholdgyár;Militaire Satellietenfabriek;Fábrica de Satélites Militares;Завод Военных Спутников;Sotilasselliittitehdas;军用卫星厂
armoured_vehicles_factory;Armoured Vehicles Factory;Usine de Véhicules Blindés;Panzerfahrzeugfabrik;Fabryka Pojazdów Opancerzonych;Fábrica de Vehículos Blindados;Fabbrica di Veicoli Corazzati;Pansarfordonsfabrik;Továrna na Obrněná Vozidla;Páncélozott Járműgyár;Gepantserde Voertuigenfabriek;Fábrica de Veículos Blindados;Завод Бронетехники;Panssariajoneuvotehdas;装甲车辆厂
ships_factory;Ships Factory;Chantier Naval;Schiffswerft;Stocznia;Astillero;Cantiere Navale;Skeppsvarv;Loděnice;Hajógyár;Scheepswerf;Estaleiro;Судостроительный Завод;Telakka;造船厂
aeroplanes_factory;Aeroplanes Factory;Usine Aéronautique;Flugzeugfabrik;Fabryka Samolotów;Fábrica de Aviones;Fabbrica di Aeroplani;Flygplansfabrik;Letecká Továrna;Repülőgépgyár;Vliegtuigfabriek;Fábrica de Aviões;Авиационный Завод;Lentokonetehdas;飞机制造厂
administration;Administration;Administration;Verwaltung;Administracja;Administración;Amministrazione;Administration;Administrativa;Adminisztráció;Administratie;Administração;Администрация;Hallinto;行政中心
military_academy;Military Academy;Académie Militaire;Militärakademie;Akademia Wojskowa;Academia Militar;Accademia Militare;Militärakademi;Vojenská Akademie;Katonai Akadémia;Militaire Academie;Academia Militar;Военная Академия;Sotilasakatemia;军事学院
nuclear_test_site;Nuclear Test Site;Site d'Essais Nucléaires;Atomtestgelände;Poligon Jądrowy;Sitio de Pruebas Nucleares;Sito di Test Nucleari;Kärnvapenprovplats;Jaderná Testovací Střelnice;Nukleáris Kísérleti Telep;Nucleair Testterrein;Local de Testes Nucleares;Ядерный Полигон;Ydinkoealue;核试验场
rocket_test_site;Rocket Test Site;Site d'Essais de Fusées;Raketentestgelände;Poligon Rakietowy;Sitio de Pruebas de Cohetes;Sito di Test Missilistici;Raketprovplats;Raketová Testovací Střelnice;Rakétakísérleti Telep;Rakettestterrein;Local de Testes de Foguetes;Ракетный Полигон;Rakettikoealue;火箭试验场
financial_district;Financial District;Quartier Financier;Finanzviertel;Dzielnica Finansowa;Distrito Financiero;Distretto Finanziario;Finansdistrikt;Finanční Čtvrť;Pénzügyi Negyed;Financieel District;Distrito Financeiro;Финансовый Район;Finanssialue;金融区
strategical_storage;Strategical Storage;Stockage Stratégique;Strategisches Lager;Magazyn Strategiczny;Almacenamiento Estratégico;Deposito Strategico;Strategiskt Lager;Strategické Skladiště;Stratégiai Raktár;Strategische Opslag;Armazenamento Estratégico;Стратегическое Хранилище;Strateginen Varasto;战略储备库
intelligence_center;Intelligence Center;Centre de Renseignement;Nachrichtendienstzentrale;Centrum Wywiadowcze;Centro de Inteligencia;Centro di Intelligence;Underrättelsecenter;Zpravodajské Centrum;Hírszerzési Központ;Inlichtingencentrum;Centro de Inteligência;Разведывательный Центр;Tiedustelukeskus;情报中心
sdi_site;SDI Site;Site IDS;SDI-Standort;Ośrodek SDI;Sitio IDE;Sito SDI;SDI-plats;Stanoviště SDI;SDI Telep;SDI-site;Local da IDE;Объект СОИ;SDI-asema;战略防御倡议站
nuclear_silo;Nuclear Silo;Silo Nucléaire;Atomraketensilo;Silos Nuklearny;Silo Nuclear;Silo Nucleare;Kärnvapensilo;Jaderné Silo;Nukleáris Siló;Nucleaire Silo;Silo Nuclear;Ядерная Шахта;Ydinsiilo;核导弹发射井
spaceport;Spaceport;Spatioport;Raumhafen;Kosmodrom;Puerto Espacial;Spazioporto;Rymdhamn;Kosmodrom;Űrkikötő;Ruimtehaven;Espaçoporto;Космодром;Avaruussatama;太空港
national_monument;National Monument;Monument National;Nationaldenkmal;Pomnik Narodowy;Monumento Nacional;Monumento Nazionale;Nationalmonument;Národní Památník;Nemzeti Emlékmű;Nationaal Monument;Monumento Nacional;Национальный Памятник;Kansallinen Monumentti;国家纪念碑
university;University;Université;Universität;Uniwersytet;Universidad;Università;Universitet;Univerzita;Egyetem;Universiteit;Universidade;Университет;Yliopisto;大学
agriculture_research_center;Agriculture Research Center;Centre de Recherche Agricole;Agrarforschungszentrum;Centrum Badań Rolniczych;Centro de Investigación Agrícola;Centro di Ricerca Agricola;Jordbruksforskningscenter;Zemědělské Výzkumné Centrum;Mezőgazdasági Kutatóközpont;Landbouwonderzoekscentrum;Centro de Pesquisa Agrícola;Центр Сельскохозяйственных Исследований;Maatalouden Tutkimuskeskus;农业研究中心
land_research_center;Land Research Center;Centre de Recherche Terrestre;Landforschungszentrum;Centrum Badań Lądowych;Centro de Investigación Terrestre;Centro di Ricerca Terrestre;Landforskningscenter;Pozemní Výzkumné Centrum;Szárazföldi Kutatóközpont;Landonderzoekscentrum;Centro de Pesquisa Terrestre;Центр Сухопутных Исследований;Maavoimatutkimuskeskus;陆军研究中心
air_research_center;Air Research Center;Centre de Recherche Aérienne;Luftfahrtforschungszentrum;Centrum Badań Lotniczych;Centro de Investigación Aérea;Centro di Ricerca Aerea;Flygforskningscenter;Letecké Výzkumné Centrum;Légi Kutatóközpont;Luchtonderzoekscentrum;Centro de Pesquisa Aérea;Центр Авиационных Исследований;Ilmailututkimuskeskus;空军研究中心
naval_research_center;Naval Research Center;Centre de Recherche Navale;Marineforschungszentrum;Centrum Badań Morskich;Centro de Investigación Naval;Centro di Ricerca Navale;Marinforskningscenter;Námořní Výzkumné Centrum;Tengerészeti Kutatóközpont;Marineonderzoekscentrum;Centro de Pesquisa Naval;Центр Voenno-Morskikh Исследований;Merivoimatutkimuskeskus;海军研究中心
early_warning_site;Early Warning Site;Site d'Alerte Précoce;Frühwarnstation;System Wczesnego Ostrzegania;Sitio de Alerta Temprana;Sito di Allarme Precoce;Tidig Varningsplats;Stanoviště Včasného Varování;Korai Előrejelző Állomás;Vroegtijdige Waarschuwingssite;Local de Alerta Precoce;Система Раннего Предупреждения;Ennakkovaroitusasema;预警雷达站
air_base;Air Base;Base Aérienne;Luftwaffenstützpunkt;Baza Lotnicza;Base Aérea;Base Aerea;Flygbas;Letecká Základna;Légibázis;Vliegbasis;Base Aérea;Авиабаза;Lentotukikohta;空军基地
naval_base;Naval Base;Base Navale;Marinestützpunkt;Baza Marynarki;Base Naval;Base Navale;Marinbas;Námořní Základna;Tengerészeti Bázis;Marinebasis;Base Naval;Военно-морская База;Laivastotukikohta;海军基地
coastal_fort;Coastal Fort;Fort Côtier;Küstenfestung;Fort Nadbrzeżny;Fuerte Costero;Forte Costiero;Kustfort;Pobřežní Pevnost;Parti Erőd;Kustfort;Forte Costeiro;Береговой Форт;Rannikkolinnake;沿海堡垒
land_fort;Land Fort;Fort Terrestre;Landfestung;Fort Lądowy;Fuerte Terrestre;Forte Terrestre;Landfort;Pozemní Pevnost;Szárazföldi Erőd;Landfort;Forte Terrestre;Сухопутный Форт;Maalinnake;陆地堡垒
anti_air;Anti Air;Défense Anti-Aérienne;Flugabwehr;Obrona Przeciwlotnicza;Defensa Antiaérea;Contraerea;Luftvärn;Protivzdušná Obrana;Légvédelem;Luchtafweer;Defesa Antiaérea;ПВО;Ilmatorjunta;防空设施
railway;Railway;Chemin de Fer;Eisenbahn;Kolej;Ferrocarril;Ferrovia;Järnväg;Železnice;Vasút;Spoorweg;Ferrovia;Железная Дорога;Rautatie;铁路
radar_station;Radar Station;Station Radar;Radarstation;Stacja Radarowa;Estación de Radar;Stazione Radar;Radarstation;Radarová Stanice;Radar Állomás;Radarstation;Estação de Radar;Радиолокационная Станция;Tutka-asema;雷达站
nuclear_reactor;Nuclear Reactor;Réacteur Nucléaire;Kernreaktor;Reaktor Jądrowy;Reactor Nuclear;Reattore Nucleare;Kärnreaktor;Jaderný Reaktor;Atomreaktor;Kernreactor;Reator Nuclear;Ядерный Реактор;Ydinreaktori;核反应堆
rocket_test;Rocket Test Facility;Installation d'Essai de Fusées;Raketentestanlage;Ośrodek Testów Rakietowych;Instalación de Pruebas de Cohetes;Struttura Test Missilistici;Rakettestanläggning;Zařízení pro Testování Raket;Rakétatesztelő Létesítmény;Rakettestfaciliteit;Instalação de Teste de Foguetes;Комплекс Испытания Ракет;Rakettikoeasema;火箭测试设施
cement;Cement;Ciment;Zement;Cement;Cemento;Cemento;Cement;Cement;Cement;Cement;Cimento;Цемент;Sementti;水泥
steel;Steel;Acier;Stahl;Stal;Acero;Acciaio;Stål;Ocel;Acél;Staal;Aço;Сталь;Teräs;钢材
machine_parts;Machine Parts;Pièces Mécaniques;Maschinenteile;Części Maszyn;Piezas de Maquinaria;Parti Meccaniche;Maskindelar;Strojní Součásti;Gépalkatrészek;Machineonderdelen;Peças de Máquinas;Детали Машин;Koneenosat;机械零件
oil;Oil;Pétrole;Öl;Ropa Naftowa;Petróleo;Petrolio;Olja;Ropa;Olaj;Olie;Petróleo;Нефть;Öljy;石油
fuel;Fuel;Carburant;Treibstoff;Paliwo;Combustible;Carburante;Bränsle;Palivo;Üzemanyag;Brandstof;Combustível;Топливо;Polttoaine;燃料
coal;Coal;Charbon;Kohle;Węgiel;Carbón;Carbone;Kol;Uhlí;Szén;Steenkool;Carvão;Уголь;Kivihiili;煤炭
renewable_energy;Renewable Energy;Énergie Renouvelable;Erneuerbare Energie;Energia Odnawialna;Energía Renovable;Energia Rinnovabile;Förnybar Energi;Obnovitelná Energie;Megújuló Energia;Hernieuwbare Energie;Energia Renovável;Возобновляемая Энергия;Uusiutuva Energia;可再生能源
electricity;Electricity;Électricité;Elektrizität;Elektryczność;Electricidad;Elettricità;Elektricitet;Elektřina;Villamosenergia;Elektriciteit;Eletricidade;Электричество;Sähkö;电力
electronic_components;Electronic Components;Composants Électroniques;Elektronische Bauteile;Podzespoły Elektroniczne;Componentes Electrónicos;Componenti Elettronici;Elektronikkomponenter;Elektronické Součástky;Elektronikai Alkatrészek;Elektronische Componenten;Componentes Eletrônicos;Электронные Компоненты;Elektroniikkakomponentit;电子元件
uranium;Uranium;Uranium;Uran;Uran;Uranio;Uranio;Uran;Uran;Urán;Uranium;Urânio;Уран;Uraani;铀
wood;Wood;Bois;Holz;Drewno;Madera;Legno;Trä;Dřevo;Fa;Hout;Madeira;Древесина;Puu;木材
iron;Iron;Fer;Eisen;Żelazo;Hierro;Ferro;Järn;Železo;Vas;Ijzer;Ferro;Железо;Rauta;铁
rare_metals;Rare Metals;Métaux Rares;Seltene Erden;Metale Ziem Rzadkich;Metales Raros;Metalli Rari;Sällsynta Metaller;Vzácné Kovy;Ritkaföldfémek;Zeldzame Metalen;Metais Raros;Редкие Металлы;Harvinaiset Metallit;稀有金属
inorganic_chemicals;Inorganic Chemicals;Chimiques Inorganiques;Anorganische Chemikalien;Chemikalia Nieorganiczne;Productos Químicos Inorgánicos;Prodotti Chimici Inorganici;Oorganiska Kemikalier;Anorganické Chemikálie;Szervetlen Vegyszerek;Anorganische Chemicaliën;Químicos Inorgânicos;Неорганические Химикаты;Epäorgaaniset Kemikaalit;无机化学品
aluminium;Aluminium;Aluminium;Aluminium;Aluminium;Aluminio;Alluminio;Aluminium;Hliník;Alumínium;Aluminium;Alumínio;Алюминий;Alumiini;铝
glass;Glass;Verre;Glas;Szkło;Vidrio;Vetro;Glas;Sklo;Üveg;Glas;Vidro;Стекло;Lasi;玻璃
vegetables;Vegetables;Produits Agricoles;Gemüse;Warzywa;Verduras;Verdure;Grönsaker;Zelenina;Zöldségek;Groenten;Vegetais;Овощи;Vihannekset;蔬菜
fabric;Fabric;Tissu;Stoff;Tkanina;Tejido;Tessuto;Tyg;Látka;Szövet;Stof;Tecido;Ткань;Kangas;织物
plastics;Plastics;Plastiques;Kunststoffe;Tworzywa Sztuczne;Plásticos;Plastica;Plaster;Plasty;Műanyagok;Kunststoffen;Plásticos;Пластмасса;Muovit;塑料
paper;Paper;Papier;Papier;Papier;Papel;Carta;Papper;Papír;Papír;Papier;Papel;Бумага;Paperi;纸张
integrated_circuits;Integrated Circuits;Circuits Intégrés;Integrierte Schaltungen;Układy Scalone;Circuitos Integrados;Circuiti Integrati;Integrerade Kretsar;Integrované Obvody;Integrált Áramkörök;Geïntegreerde Schakelingen;Circuitos Integrados;Интегральные Схемы;Mikropiirit;集成电路
computers;Computers;Ordinateurs;Computer;Komputery;Computadoras;Computer;Datorer;Počítače;Számítógépek;Computers;Computadores;Компьютеры;Tietokoneet;电脑
automobiles;Automobiles;Automobiles;Automobile;Samochody;Automóviles;Automobili;Bilar;Automobily;Gépjárművek;Auto's;Automóveis;Автомобили;Autot;汽车
clothes;Clothes;Vêtements;Kleidung;Odzież;Ropa;Abbigliamento;Kläder;Oblečení;Ruházat;Kleding;Roupas;Одежда;Vaatteet;服装
pharmaceuticals;Pharmaceuticals;Produits Pharmaceutiques;Pharmazeutika;Farmaceutyki;Productos Farmacéuticos;Farmaci;Läkemedel;Léčiva;Gyógyszerek;Geneesmiddelen;Farmacêuticos;Фармацевтика;Lääkkeet;药品
communication;Communication Equipment;Équipement de Communication;Kommunikationsausrüstung;Sprzęt Komunikacyjny;Equipo de Comunicación;Apparecchiature di Comunicazione;Kommunikationsutrustning;Komunikační Zařízení;Kommunikációs Eszközök;Communicatieapparatuur;Equipamento de Comunicação;Средства Связи;Viestintävälineet;通信设备
aeroplanes;Aeroplanes;Avions;Flugzeuge;Samoloty;Aviones;Aeroplani;Flygplan;Letadla;Repülőgépek;Vliegtuigen;Aviões;Самолеты;Lentokoneet;飞机
ships;Ships;Navires;Schiffe;Statki;Barcos;Navi;Skepp;Lodě;Hajók;Schepen;Navios;Корабли;Laivat;船只
transport;Transport Supplies;Logistique;Transportgüter;Zaopatrzenie Transportowe;Suministros de Transporte;Forniture di Trasporto;Transportutrustning;Dopravní Prostředky;Szállítási Eszközök;Transportbenodigdheden;Suprimentos de Transporte;Транспортные Средства;Kuljetustarvikkeet;运输物资
ammunition;Ammunition;Munitions;Munition;Amunicja;Munición;Munizioni;Ammunition;Munice;Lőszer;Munitie;Munição;Боеприпасы;Ammukset;弹药
weaponry;Weaponry;Armement;Waffen;Broń;Armamento;Armi;Vapen;Zbraně;Fegyverzet;Wapens;Armamento;Вооружение;Aseet;武器
refined_uranium;Refined Uranium;Uranium Enrichi;Angereichertes Uran;Wzbogacony Uran;Uranio Enriquecido;Uranio Arricchito;Anrikat Uran;Obohacený Uran;Dúsított Urán;Verrijkt Uranium;Urânio Enriquecido;Обогащенный Уран;Rikastettu Uraani;浓缩铀
military_satellites;Military Satellites;Satellites Militaires;Militärsatelliten;Satelity Wojskowe;Satélites Militares;Satelliti Militari;Militära Satelliter;Vojenské Družice;Katonai Műholdak;Militaire Satellieten;Satélites Militares;Военные Спутники;Sotilassatelliitit;军用卫星
armoured_vehicles;Armoured Vehicles;Véhicules Blindés;Panzerfahrzeuge;Pojazdy Opancerzone;Vehículos Blindados;Veicoli Corazzati;Pansarfordon;Obrněná Vozidla;Páncélozott Járművek;Gepantserde Voertuigen;Veículos Blindados;Бронетехника;Panssariajoneuvot;装甲车辆
INPUT;Input;Entrée;Eingang;Wejście;Entrada;Ingresso;Indata;Vstup;Bemenet;Invoer;Entrada;Вход;Syöte;输入
OUTPUT;Output;Sortie;Ausgang;Wyjście;Salida;Uscita;Utdata;Výstup;Kimenet;Uitvoer;Saída;Выход;Tuotos;输出
EXPAND;Expand;Agrandir;Erweitern;Rozbuduj;Ampliar;Espandi;Expandera;Rozšířit;Bővítés;Uitbreiden;Expandir;Расширить;Laajenna;扩建
SUSPEND;Suspend;Suspendre;Aussetzen;Wstrzymaj;Suspender;Sospendi;Pausa;Pozastavit;Felfüggeszt;Onderbreken;Suspender;Приостановить;Keskeytä;暂停
DEMOLISH;Demolish;Démolir;Abreißen;Zburz;Demoler;Demolisci;Riv;Zbourat;Lebont;Slopen;Demolir;Снести;Pura;拆除
RESUME;Resume;Reprendre;Fortsetzen;Wznów;Reanudar;Riprendi;Återuppta;Obnovit;Folytat;Hervatten;Retomar;Возобновить;Jatka;继续
